StationName	EventNum	FibreHit	Total Energy Deposit [MeV]	True PosX [mm]	True PosY [mm]	True PosZ [mm]	Station Depth [mm]	Time [ns]
St1_H	260	258	0.150019	4.82418	-0.505909	-137.884	12.2759	0.0705114
St1_H	261	260	0.0944148	3.87504	-2.08459	-137.935	12.2759	0.0703395
St1_H	262	260	0.0942945	4.81289	-1.27963	-137.942	12.2759	0.0703306
St1_H	263	253	0.0612954	3.78874	0.636772	-137.708	12.2759	0.0715757
St1_H	265	258	0.0935501	4.36033	-0.757607	-137.941	12.2759	0.0702056
St1_H	266	258	0.300792	4.02018	-1.03702	-137.916	12.2759	0.0704257
St1_H	267	264	0.0237502	5.4954	-2.09887	-137.858	12.2759	0.0705886
St1_H	269	255	0.136776	4.54682	0.588614	-137.738	12.2759	0.0715331
St1_H	271	264	0.137527	5.07822	-2.69384	-137.948	12.2759	0.0701851
St1_H	272	254	0.0808107	3.96913	0.439154	-137.935	12.2759	0.0701561
St1_H	273	256	0.0228198	4.12317	-0.363691	-137.847	12.2759	0.0708281
St1_H	275	271	0.072983	5.43676	-5.24053	-137.725	12.2759	0.0716129
St1_H	276	261	0.134848	5.19884	-1.28002	-137.75	12.2759	0.0712807
St1_H	278	257	0.0687947	4.92118	0.273251	-137.73	12.2759	0.0715517
St1_H	279	263	0.00918301	5.81595	-1.58202	-137.741	12.2759	0.0715364
St1_H	279	263	0.0854705	5.81584	-1.5822	-137.718	12.2759	0.071673
St1_H	279	263	0.0141581	5.81584	-1.5822	-137.718	12.2759	0.071673
St1_H	279	263	0.0142209	5.80821	-1.5975	-137.638	12.2759	0.0719979
St1_H	279	263	0.00874111	5.79049	-1.62597	-137.562	12.2759	0.0723339
St1_H	280	258	0.112056	3.72125	-1.53951	-137.933	12.2759	0.0703275
St1_H	281	260	0.15917	5.30061	-0.770409	-137.946	12.2759	0.0702126
St1_H	282	263	0.0462233	5.63615	-1.5603	-137.705	12.2759	0.0716157
St1_H	283	261	0.0782981	5.8659	-0.515906	-137.733	12.2759	0.0714149
St1_H	284	257	0.0395679	3.86611	-0.703121	-137.64	12.2759	0.0718673
St1_H	285	261	0.0713356	4.27063	-2.10419	-137.73	12.2759	0.0714125
St1_H	286	258	0.0759385	5.08739	-0.171359	-137.934	12.2759	0.0703962
St1_H	287	263	0.105881	4.28661	-3.13372	-137.734	12.2759	0.0715275
St1_H	288	254	0.0591909	3.23104	-0.364673	-137.895	12.2759	0.0704142
St1_H	290	259	0.0905629	5.28913	-0.29203	-137.749	12.2759	0.0714023
St1_H	291	261	0.0607593	5.00443	-1.3398	-137.713	12.2759	0.0716869
St1_H	293	259	0.0760302	5.5886	-0.136351	-137.718	12.2759	0.0714802
St1_H	294	257	0.0906009	4.23225	-0.430181	-137.736	12.2759	0.0714163
St1_H	295	259	0.0835921	4.07238	-1.56477	-137.748	12.2759	0.0712342
St1_H	296	264	0.0875524	4.85864	-2.8799	-137.947	12.2759	0.0702058
St1_H	299	265	0.126433	5.88453	-2.25947	-137.745	12.2759	0.0714812
St1_H	300	258	0.0263774	4.37729	-0.96748	-137.86	12.2759	0.0706622
St1_H	301	259	0.058101	4.07377	-1.66723	-137.707	12.2759	0.0714599
St1_H	302	263	0.0862603	5.6688	-1.52878	-137.706	12.2759	0.0716435
St1_H	303	260	0.0888988	5.14876	-0.81849	-137.938	12.2759	0.0703615
St1_H	304	261	0.0840054	4.50227	-2.04077	-137.739	12.2759	0.0714094
St1_H	305	254	0.0772192	4.55148	0.983107	-137.916	12.2759	0.0703937
St1_H	306	261	0.0644336	4.44038	-1.90033	-137.71	12.2759	0.0716043
St1_H	307	258	0.123958	3.47217	-1.67843	-137.947	12.2759	0.0702293
St1_H	308	257	0.0855186	4.379	-0.416098	-137.745	12.2759	0.0714909
St1_H	309	256	0.0954044	4.37488	0.125044	-137.94	12.2759	0.0702183
St1_H	310	259	0.112636	5.7476	0.0441884	-137.73	12.2759	0.0715555
St1_H	310	260	0.00258207	5.89651	-0.0984927	-137.944	12.2759	0.070088
St1_H	310	260	0.00376347	5.90179	-0.102086	-137.933	12.2759	0.0701553
St1_H	310	260	0.00497526	5.9075	-0.11	-137.923	12.2759	0.0702292
St1_H	310	260	0.00442691	5.91531	-0.114652	-137.913	12.2759	0.0703011
St1_H	310	260	0.0204052	5.92816	-0.124745	-137.9	12.2759	0.0704137
St1_H	310	260	0.0140057	5.94107	-0.124327	-137.88	12.2759	0.0705426
St1_H	310	260	0.0175184	5.94304	-0.123657	-137.84	12.2759	0.0707623
St1_H	310	260	0.0631076	5.94774	-0.120785	-137.796	12.2759	0.0710328
St1_H	310	260	0.012475	5.96369	-0.0972362	-137.741	12.2759	0.0713297
St1_H	311	268	0.0785056	6.09979	-3.45916	-137.938	12.2759	0.0702173
St1_H	312	264	0.0319683	5.39814	-2.52851	-137.872	12.2759	0.0705773
St1_H	313	263	0.059941	3.74558	-3.43441	-137.688	12.2759	0.0718131
